,compute_name,environment_name,status,create_update_response
0,Default_Persistent_Compute_001,Azure_Env_Internal,success,"{'error': {'error_code': None, 'error_desc': None}, 'result': {'entity_id': None, 'job_id': None, 'status': 'success', 'response': {'message': 'Successfully created a Interactive environment', 'result': {'id': '66cd7304bef47d432f334c3f'}}}}"
1,Persistent_Compute_01,Azure_Env_External,success,"{'error': {'error_code': None, 'error_desc': None}, 'result': {'entity_id': None, 'job_id': None, 'status': 'success', 'response': {'message': 'Successfully created a Interactive environment', 'result': {'id': '66cd7309bef47d432f334c41'}}}}"
2,Ephemeral_Compute_04,Azure_Env_External,success,"{'error': {'error_code': None, 'error_desc': None}, 'result': {'entity_id': None, 'job_id': None, 'status': 'success', 'response': {'message': 'Successfully created Compute template', 'result': {'id': '66cd730bbef47d432f334c42'}}}}"
3,Peristent_Compute,Azure_Env_Unity,success,"{'error': {'error_code': None, 'error_desc': None}, 'result': {'entity_id': None, 'job_id': None, 'status': 'success', 'response': {'message': 'Successfully created a Interactive environment', 'result': {'id': '66cd730eeed4673496ef27cc'}}}}"
4,Default_Persistent_Compute,API_Snowflake_Environment,success,"{'error': {'error_code': None, 'error_desc': None}, 'result': {'entity_id': None, 'job_id': None, 'status': 'success', 'response': {'message': 'Successfully created a Interactive environment', 'result': {'id': '66cd7310eed4673496ef27cd'}}}}"
5,Default_Ephemeral_Compute_New,API_Snowflake_Environment,success,"{'error': {'error_code': None, 'error_desc': None}, 'result': {'entity_id': None, 'job_id': None, 'status': 'success', 'response': {'message': 'Successfully created Compute template', 'result': {'id': '66cd7312bef47d432f334c45'}}}}"
