DB Name,Table Name,LRF Layout,LRF Path,LRF Name,MF Script
MARKETING,TATM002_AIT_ACCESS_CUST_APPL,"ML3TM002 - 1,1,13,1,15,7
ML4TM002 - 1,1,13,2,3,3
Monthly:
ML1TM002/ML2TM002 - 1,1,13,1,2,1,3,1,3",/cfs/app/etl_p81/edw_apps_p81/azn_edwmk/files/srcfiles/weekly/sfload,"DWPC.AIT2EDW.W1.TATM002.NDMFILE.SFK.*.DAT
DWPC.AIT2EDW.W2.TATM002.NDMFILE.SFK.*.DAT
DWPC.AIT2EDW.M1.TATM002.NDMFILE.SFK.*.DAT
DWPC.AIT2EDW.M2.TATM002.NDMFILE.SFK.*.DAT
","ML3TM002
ML4TM002
ML1TM002
ML2TM002
"
MARKETING,TATM013_GEO_EXCHCO,"3,3,4,4,10,3,3",/cfs/app/etl_p81/edw_apps_p81/azn_edwmk/files/srcfiles/monthly/sfload,DWPC.EXCHCO.TATM013.NDMFILE.SFK.*.DAT,GEOEXCLD - Load
MARKETING,TATM013_GEO_NPANXX,"10,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,3,3,4,1,10,3,3,7,1,1,1,1,1,1,1,1,1,1,1,1,30,8,8,8",/cfs/app/etl_p81/edw_apps_p81/azn_edwmk/files/srcfiles/monthly/sfload,DWPC.AIT.TATM013.NDMFILE.SFK.*.DAT,GEONPALD
MARKETING,TATM013_GEO_RANGE,"8,1,2,1,3,3,4,4,1,11,1,5,1,1,34",/cfs/app/etl_p81/edw_apps_p81/azn_edwmk/files/srcfiles/monthly/sfload,DWPC.BC91911A.TATM013.NDMFILE.SFK.*.DAT,GEOGLOAD - Load
MR2000,TCCR290_CPE_PROJECT,"1,2,7,30,40,20,4,8,8,30,10,9,14,2,4,4,30,3,40,8,7,6,13,1,3,15,15,8,8,3",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/weekly/sfload,DWPC.DWCCR290.TCCR290.NDMFILE.SFK.*.dat ,MLCCR290
MR2000,TCCR291_CPE_CUSTOMER,"1,2,15,15,100,40,40,40,2,20,3,10,10,10,50,1,1,10,255,10",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/weekly/sfload,DWDA.DWCCR291.TCCR291.NDMFILE.SFK.*.dat ,MLCCR291
MR2000,TCTF020_GLOBAL_GL_DETAIL_STAGE,"1,2,9,6,4,4,2,2,4,4,4,8,9,9,2,5,13,11,3,6,7,15,6,10,5,25,15,10,30,100,100,100,6,16,15,14,6,21,21,4,1,8,3,15",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/daily/sfload,ERSFRCQ.DTVDT.TCTF020.NDMFILE.SFK.*.dat,MLCTF020
MR2000,TCTF020_GLOBAL_GL_HEADER_STAGE,"1,1,4,1,4,1,1,1,8,7,2,2,1,6,9,7,1,6",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/daily/sfload,ERSFRCQ.DTVHD.TCTF020.NDMFILE.SFK.*.dat,MLCTF020
MR2000,TPTF001_JOURNAL_REVENUE_STAGE,"1,4,6,1,3,3,4,3,3,1,4,2,4,4,1,1,8,5,8,4,4,4,4,4,4,4,4,1,1,3,3,3,1,1,1,3,1,1,2,1,1,1,1,3,1,1,1,3,9,5,6,4,4,1,15,10,15,8,3,1,2,1,1,1,8,10,5,2,9,9,4,2,1,8,1,8,1",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/daily/sfload,"ERSFRCA.DWPTFB01.TPTF001.NDMFILE.SFK.*.dat
ERSFRCA.D1PTFB01.TPTF001.NDMFILE.SFK.*.dat",MLPTF001
MR2000,TTTR004_SUB_ACCOUNT_WORK,"1,6,40,6,6,4",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/monthly/sfload,DWDA.DWTTR004.TTTR004.NDMFILE.SFK.*.dat,"MLTTR004
"
MR2000,TTTR005_ACCOUNT_WORK,"1,6,40,6,10",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/monthly/sfload,DWDA.DWTTR005.TTTR005.NDMFILE.SFK.*.dat,"MLTTR005
"
MR2000,TTTR006_PRODUCT_SVC_HRCHY_ASGN,"1,10,6,6,15,6,4,3,1,4,14,10,30,90",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/monthly/sfload,DWPC.DWTTR006.TTTR006.NDMFILE.SFK.*.DAT,MLTTR006
MR2000,TTTR008_LVL_3_SUB_ACCT_WORK,"1,6,90,6,6",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/monthly/sfload,DWPC.DWTTR008.TTTR008.NDMFILE.SFK.*.DAT,"MLTTR008
"
MR2000,TTTR009_LVL_4_ACCOUNT_WORK,"1,6,90,8,6",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/monthly/sfload,DWPC.DWTTR009.TTTR009.NDMFILE.SFK.*.DAT,"MLTTR009
"
MR2000,TTTR010_LVL_5_ACCT_MASTER_WORK,"1,8,90,9,6",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/monthly/sfload,DWPC.DWTTR010.TTTR010.NDMFILE.SFK.*.DAT,"MLTTR010
"
MR2000,TTTR011_DUN_BRADST_GLOBAL_WORK,"1,9,90,6",/cfs/app/etl_p81/edw_apps_p81/azn_mr2000/files/srcfiles/monthly/sfload,DWPC.DWTTR011.TTTR011.NDMFILE.SFK.*.DAT,"MLTTR011
"
